,project_name,technology,status
1630,Сбер РБ - Домклик,SYSTEM_ANALYST,0
1637,Ингосстрах-Инвестиции,BUSINESS_ANALYST,0
1643,Backbase,JAVA,0
1646,Тинькофф Банк,JAVA,0
1673,JTI (Japan Tobacco International),NET,0
1699,Самолёт Венчурс - Плафторма Самолёт+,UX_UI,0
1709,IHS Kernel,DEVOPS,0
1721,Ингосстрах-Инвестиции,C_SHARP,0
1725,Brandoo,REACT_NATIVE,0
1736,Самолёт Венчурс - Плафторма Самолёт+,UX_UI,0
1745,msg Plaut Austria GmbH,JAVA,0
1749,ПАО Банк «ФК Открытие»,JAVA,0
1755,Тинькофф Банк,ANDROID,0
1765,Самолёт Венчурс - Плафторма Самолёт+,NET,0
1766,Самолёт Венчурс - Плафторма Самолёт+,NET,0
1777,Global Shares Ireland Limited,ANGULAR,0
1778,Ингосстрах-Инвестиции,BUSINESS_ANALYST,0
1789,msg Plaut Austria GmbH,BUSINESS_ANALYST,0
1806,IHS Kernel,DATA_SCIENCE_ML,0
1809,Allianz Technology,DATA_ENGINEER_DBA,0
1816,Allianz Technology,DATA_ENGINEER_ETL,0
1820,Bitmovin GmbH,ANDROID,0
1826,IHS Kernel,DATA_SCIENCE_ML,0
1827,ABB Switzerland Ltd,NET,0
1831,Банки.ру,NODE_JS,0
1837,Тинькофф Банк,IOS,0
1856,Ланит - ВТБ,SYSTEM_ANALYST,0
1859,МТС Диджитал,NET,0
1869,Ингосстрах-Инвестиции,ANDROID,0
1873,Самолёт Венчурс - Плафторма Самолёт+,NET,0
1879,Global Shares Ireland Limited,ANGULAR,0
1883,Getsafe,RUBY,0
1886,ABB Switzerland Ltd,QA_AUTOMATION_C_SHARP,0
1887,ABB Switzerland Ltd,QA_AUTOMATION_C_SHARP,0
1888,ABB Switzerland Ltd,QA_AUTOMATION_C_SHARP,0
1889,Ланит - ВТБ,SYSTEM_ANALYST,0
1890,ABB Switzerland Ltd,QA_AUTOMATION_C_SHARP,0
1893,Backbase,JAVA,0
1903,Bundle,NODE_JS,0
1910,Bundle,REACT,0
1911,SupplyStack,NODE_JS,0
1925,Сбер РБ - Домклик,SYSTEM_ANALYST,0
1928,Банки.ру,SYSTEM_ANALYST,0
1931,Альфа-банк,ANDROID,0
1944,Ecovium GmbH,BUSINESS_ANALYST,0
1958,GMCS,SQL,0
1969,Самолёт Венчурс - Плафторма Самолёт+,SYSTEM_ANALYST,0
1977,МАГНИТ,VUE_JS,0
1979,StormPay,ANDROID,0
1980,StormPay,IOS,0
1982,Самолёт Венчурс - Плафторма Самолёт+,NET,0
1990,Global Shares Ireland Limited,SCRUM_MASTER,0
1995,Манго телеком,NODE_JS,0
1997,Yara International,NODE_JS,0
1998,Global Shares Ireland Limited,NET,0
2016,Global Shares Ireland Limited,QA_AUTOMATION_ENGINEER_JAVA,0
2018,IHS,NET,0
2029,Allianz Technology,DATA_ENGINEER_DBA,0
2032,ПАО Банк «ФК Открытие»,QA_ENGINEER,0
2033,Softeq Minsk,QA_AUTOMATION_ENGINEER_JS,0
2036,МТС Диджитал,NET,0
2049,Brandoo,REACT_NATIVE,0
2050,МТС Диджитал,ANDROID,0
2051,ПАО Банк «ФК Открытие»,JAVA,0
2062,Nexxiot AG,QA_ENGINEER,0
2063,Банки.ру,QA_AUTOMATION_ENGINEER_JAVA,0
2067,Ланит - ВТБ,REACT,0
2069,Ланит - ВТБ,REACT,0
2085,BSS Group,SYSTEM_ANALYST,0
2098,Философия ИТ,JAVA,0
2113,Философия ИТ,JAVA,0
2148,Самолёт Венчурс - Плафторма Самолёт+,NET,0
2176,IHS,NET,0
2188,Самолёт Венчурс - Плафторма Самолёт+,NET,0
2223,Самолёт Венчурс - Плафторма Самолёт+,VUE_JS,0
2229,Atroo,REACT,0
2235,МТС Диджитал,ORACLE,0
2236,Ростелеком #2,ANDROID,0
2246,ПАО Банк «ФК Открытие»,QA_ENGINEER,0
2247,Ecovium GmbH,BUSINESS_ANALYST,0
2265,Backbase,ANDROID,0
2274,Team Force,JAVA,0
2276,BSS Group,QA_ENGINEER,0
2283,ANIXE,NET,0
2285,Mondia group,NODE_JS,0
2291,Альфа-банк,JAVA,0
2307,Wondersign,NODE_JS,0
2310,M10 (PayPoint),FLUTTER,0
2313,M10 (PayPoint),JAVA,0
2323,M10 (PayPoint),QA_AUTOMATION_ENGINEER_JAVA,0
2326,Ростелеком #2,SYSTEM_ANALYST,0
2327,Wayflyer Limited,PYTHON,0
2336,Самолёт Венчурс - Плафторма Самолёт+,NET,0
2348,Accenture Russia,BUSINESS_ANALYST,0
2365,M10 (PayPoint),JAVA,0
2369,Backbase,DEVOPS,0
2371,BIKE24,REACT,0
2381,Space (Neobank),ANDROID,0
2386,Банки.ру,PHP,0
2397,tabby SA,IOS,0
2433,NEXR Technologies SE,PRODUCT_OWNER,0
2436,Accenture Russia,BUSINESS_ANALYST,0
2437,Альфа-банк,JAVA,0
2443,ABB Switzerland Ltd,NET,0
2454,Самолёт Венчурс - Плафторма Самолёт+,NET,0
2459,Яндекс Медиалаб,JAVA,0
2468,Ланит - ВТБ,REACT,0
2478,МТС Диджитал,NET,0
2487,Сбер РБ Платежи&Переводы,QA,0
2494,Самолёт Венчурс - Плафторма Самолёт+,NET,0
2500,Ростелеком #2,C_PLUSPLUS,0
2514,Альфа-банк,GO,0
2518,msg Plaut Austria GmbH,BUSINESS_ANALYST,0
2522,Альфа-банк,ANDROID,0
2527,Альфа-банк,SYSTEM_ANALYST,0
2548,X5 Retail Group Портал поставщика,GO,0
2568,Roibox,ANGULAR,0
2584,Ростелеком #2,ANDROID,0
2593,Ланит - Сбер,JAVA,0
2608,Банки.ру,PHP,0
2636,Global Shares Ireland Limited,QA_ENGINEER,0
2640,Roibox,NET,0
2652,Global Shares Ireland Limited,SOFTWARE_ARCHITECT,0
2678,Сбер РБ Кошелек Клиента (ФИТ),JAVA,0
2683,Ростелеком #2,SYSTEM_ANALYST,0
2685,I-Teco,JAVA,0
2698,Альфа-банк,QA_AUTOMATION_C_SHARP,0
2700,Ростелеком #2,QA_AUTOMATION_ENGINEER_PYTHON,0
2726,Ростелеком #2,ROR,0
2749,Moovforge,REACT,0
2756,MemberNova,QA_AUTOMATION,0
2775,Сбер РБ Кошелек Клиента (ФИТ),SYSTEM_ANALYST,0
2792,IHS,NET,0
2793,Ростелеком #2,ANDROID,0
2807,Centtrip UK,AWS,0
2813,Alternative Payments PSD2,NET,0
2815,Банки.ру,SYSTEM_ANALYST,0
2819,BIKE24,REACT,0
2834,ПАО Банк «ФК Открытие»,QA_ENGINEER,0
2838,Ростелеком #2,ANDROID,0
2840,MemberNova,QA_AUTOMATION,0
2842,Сбер РБ ДомКлик_ЕФС,JAVA,0
2848,Манго телеком,QA_AUTOMATION_ENGINEER_JAVA,0
2869,Ланит - ВТБ,JAVA,0
2878,Сбер РБ Кошелек Клиента (ФИТ),DATA_ENGINEER,0
2891,Space (Neobank),IOS,0
2896,Ростелеком #2,ANDROID,0
2915,Space (Neobank),IOS,0
2918,X5 Retail Group Портал поставщика,DEVOPS,0
2921,Ростелеком #2,SYSTEM_ANALYST,0
2935,Самолёт Венчурс - Плафторма Самолёт+,QA_AUTOMATION_ENGINEER_JS,0
2938,Ростелеком #2,ANDROID,0
2956,Банки.ру,PHP,0
2960,МЦ НТТ - TM (РТК Контакт-центр),REACT,0
2964,Уральский банк реконструкции и развития,REACT,0
2988,M10 (PayPoint),JAVA,0
3002,Accenture Russia,BUSINESS_ANALYST,0
3004,GMCS,REACT,0
3006,МЦ НТТ - TM (РТК Контакт-центр),QA,0
3017,ATG,NODE_JS,0
3023,Wio Bank,JAVA,0
3024,Wio Bank,JAVA,0
3031,Madkhol,NODE_JS,0
3035,МТС Диджитал,SYSTEM_ANALYST,0
3037,Сбер РБ - Домклик,SYSTEM_ANALYST,0
3038,МТС Диджитал,DEVOPS,0
3040,Backbase,QA_AUTOMATION_ENGINEER_JAVA,0
3055,IHS,NET,0
3080,IHS,NET,0
3091,Банки.ру,PHP,0
3105,JTI (Japan Tobacco International),PHP,0
3111,Quincus,JAVA,0
3127,Alternative Payments PSD2,NET,0
3128,МЦ НТТ - TM (РТК Контакт-центр),QA_AUTOMATION_ENGINEER_JAVA,0
3151,GMCS,JAVA,0
3165,X5 Retail Group Портал поставщика,PYTHON,0
3173,Paysera,ARCHITECT,0
3175,Уральский банк реконструкции и развития,ORACLE,0
3176,Ланит - ВТБ,JAVA,0
3182,Ростелеком #2,SYSTEM_ANALYST,0
3185,Яндекс Медиалаб,PYTHON,0
3189,Wondersign,PYTHON,0
3220,StormPay,QA_AUTOMATION,0
3224,X5 Retail Group. 5POST,BI_ANALYST,0
3227,МТС Диджитал,SYSTEM_ANALYST,0
3251,Ростелеком #2,ANDROID,0
3253,Философия ИТ,REACT,0
3256,Яндекс Медиалаб,JAVA,0
3271,Quincus,JAVA,0
3279,Манго телеком,QA_AUTOMATION_ENGINEER_JAVA,0
3287,Самолёт Венчурс - Плафторма Самолёт+,PROJECT_MANAGEMENT,0
3294,Яндекс Медиалаб,JAVA,0
3296,BIKE24,REACT,0
3307,Альфа-банк,BUSINESS_ANALYST,0
3323,Сбер РБ Кошелек Клиента (ФИТ),QA,0
3328,Тинькофф Банк,IOS,0
3329,JET RoR,RUBY,0
3336,IHS,NET,0
3355,Space (Neobank),C_SHARP,0
3356,МАГНИТ,ANDROID,0
3357,МАГНИТ,ANDROID,0
3360,X5 Retail Group. 5POST,DEVOPS,0
3365,I-Teco,JAVA,0
3383,Majorel,SYSTEM_ANALYST,0
3396,BSS Group,SYSTEM_ANALYST,0
3398,Accenture Russia,BUSINESS_ANALYST,0
3401,Альфа-банк,BUSINESS_ANALYST,0
3408,IHS,NET,0
3415,Сбер РБ ДомКлик_ЕФС,JAVA,0
3435,People Intelligence,PROJECT_MANAGEMENT,0
3436,People Intelligence,PROJECT_MANAGEMENT,0
3447,Stoovo,NODE_JS,0
3458,Yara International,NODE_JS,0
3483,ABB Switzerland Ltd,NET,0
3490,People Intelligence,PROJECT_MANAGEMENT,0
3496,Phenom People,UX_UI,0
3504,Самолёт Венчурс - Плафторма Самолёт+,PROJECT_MANAGEMENT,0
3511,Самолёт Венчурс - Плафторма Самолёт+,QA,0
3512,LigaStavok.TM,FLUTTER,0
3518,Альфа-банк,BUSINESS_ANALYST,0
3523,Яндекс Медиалаб,DATA_ANALYST,0
3526,Яндекс Медиалаб,JAVA,0
3548,Letsbloom,RUBY,0
3550,StormPay,IOS,0
3555,Wio Bank,JAVA,0
3566,ATG,REACT,0
3567,ATG,REACT,0
3568,Global Shares Ireland Limited,NET,0
3588,X5 Retail Group Портал поставщика,PYTHON,0
3595,МЦ НТТ - TM (РТК Контакт-центр),QA_AUTOMATION_ENGINEER_JAVA,0
3602,Сбер Риски Департамент интегрированного риск-менеджмента,JAVA,0
3620,IHS,QA_AUTOMATION_C_SHARP,0
3622,Самолёт Венчурс - Плафторма Самолёт+,PROJECT_MANAGEMENT,0
3667,Compleet,JAVA,0
3677,Банки.ру,REACT,0
3678,X5 Retail Group. 5POST,DEVOPS,0
3681,Wio Bank,JAVA,0
3683,StormPay,JAVA,0
3684,Уральский банк реконструкции и развития,REACT,0
3694,Философия ИТ,REACT,0
3708,ATG,NODE_JS,0
3709,Wondersign,NODE_JS,0
3711,МЦ НТТ - TM (РТК Контакт-центр),JAVA,0
3720,Альфа-банк,BUSINESS_ANALYST,0
3738,Яндекс Медиалаб,JAVA,0
3747,Allianz Partners,JAVA,0
3749,Самолёт Венчурс - Плафторма Самолёт+,PROJECT_MANAGEMENT,0
3750,Самолёт Венчурс - Плафторма Самолёт+,PROJECT_MANAGEMENT,0
3760,Уральский банк реконструкции и развития,REACT,0
3773,ПАО Банк «ФК Открытие»,QA_AUTOMATION_ENGINEER_JAVA,0
3775,Paysera,REACT,0
3785,BSS Group,QA,0
3788,Exinity,PHP,0
3807,IHS,QA_AUTOMATION_C_SHARP,0
3808,МТС Диджитал,DATA_ENGINEER,0
3813,Сбер Риски Департамент интегрированного риск-менеджмента,JAVA,0
3830,Философия ИТ,QA_AUTOMATION,0
3841,Альфа-банк,DEVOPS,0
3851,Reuter Gruppe,NODE_JS,0
3865,МТС Диджитал,IOS,0
3880,Яндекс Медиалаб,JAVA,0
3883,Wio Bank,JAVA,0
3884,Wio Bank,JAVA,0
3892,Yara International,PRODUCT_OWNER,0
3893,IHS Kernel,DATA_SCIENCE_ML,0
3894,BSS Group,NODE_REACT,0
3903,МЦ НТТ - TM (РТК Контакт-центр),QA_AUTOMATION_ENGINEER_JAVA,0
3933,X5 Retail Group. 5POST,BI_ANALYST,0
3938,Space (Neobank),C_SHARP,0
3945,Уральский банк реконструкции и развития,SYSTEM_ANALYST,0
3951,PropertyGuru Group,REACT_NATIVE,0
3977,Mondia group,SPRING,0
3996,Exinity,PHP,0
3999,IHS,JAVA,0
4015,X5 Retail Group. 5POST,DEVOPS,0
4060,Яндекс Медиалаб,PYTHON,0
4069,People Intelligence,REACT,0
4082,Сбер Риски Департамент интегрированного риск-менеджмента,JAVA,0
4090,Уральский банк реконструкции и развития,REACT,0
4099,Letsbloom,RUBY,0
4119,Allianz Partners,DEVOPS,0
4124,IPF digital (Java),JAVA,0
4125,IPF digital (Java),JAVA,0
4128,ПАО Банк «ФК Открытие»,ANDROID,0
4139,BSS Group,NODE_REACT,0
4147,Exness,PYTHON,0
4148,Сбер Риски Департамент интегрированного риск-менеджмента,QA_AUTOMATION_ENGINEER_JAVA,0
4167,Сбер РБ Социальные и зарплатные решения,JAVA,0
4205,Exinity,PHP,0
4210,ПАО Банк «ФК Открытие»,ANDROID,0
